step,section_0_payload,section_1_payload,section_2_payload,section_1_reward,section_2_reward,section_0_reward
1,683.4305000000002,675.4245000000001,311.5554999999998,0.0,0.0,0.0
2,683.4305000000002,675.4245000000001,311.5554999999998,10.0,0.0,0.0
3,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
4,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
5,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
6,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
7,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
8,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
9,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
10,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
11,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
12,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
13,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
14,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
15,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
16,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
17,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
18,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
19,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
20,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
21,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
22,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
23,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
24,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
25,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
26,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
27,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
28,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
29,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
30,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
31,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
32,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
33,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
34,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
35,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
36,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
37,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
38,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
39,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
40,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
41,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
42,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
43,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
44,683.4305000000002,675.4245000000001,311.5554999999998,10.0,10.0,0.0
