step,section_0_reward,section_1_reward,section_2_reward,section_0_payload,section_1_payload,section_2_payload
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,717.768,699.5585000000001,319.3224999999999
3,0.0,-63.99450000000013,0.0,586.7125333333329,625.564,279.24737619047636
4,0.0,0.0,10.0,586.7125333333329,625.564,279.24737619047636
5,10.0,0.0,0.0,586.7125333333329,625.564,279.24737619047636
6,0.0,0.0,10.0,586.7125333333329,625.564,279.24737619047636
7,10.0,0.0,0.0,586.7125333333329,625.564,279.24737619047636
8,0.0,0.0,10.0,586.7125333333329,625.564,279.24737619047636
9,0.0,0.0,10.0,586.7125333333329,625.564,279.24737619047636
10,10.0,0.0,0.0,586.7125333333329,625.564,279.24737619047636
11,0.0,0.0,10.0,586.7125333333329,625.564,279.24737619047636
12,10.0,0.0,0.0,586.7125333333329,625.564,279.24737619047636
13,0.0,0.0,10.0,586.7125333333329,625.564,279.24737619047636
14,10.0,0.0,0.0,586.7125333333329,625.564,279.24737619047636
15,0.0,0.0,10.0,586.7125333333329,625.564,279.24737619047636
16,10.0,0.0,0.0,586.7125333333329,625.564,279.24737619047636
17,0.0,0.0,10.0,586.7125333333329,625.564,279.24737619047636
18,10.0,0.0,0.0,586.7125333333329,625.564,279.24737619047636
19,10.0,0.0,0.0,586.7125333333329,625.564,279.24737619047636
20,0.0,0.0,10.0,586.7125333333329,625.564,279.24737619047636
21,10.0,0.0,0.0,586.7125333333329,625.564,279.24737619047636
22,0.0,0.0,10.0,586.7125333333329,625.564,279.24737619047636
23,20.78140833333373,0.0,0.0,597.4939416666666,619.4333333333334,279.24737619047636
24,0.0,0.0,10.0,597.4939416666666,619.4333333333334,279.24737619047636
25,10.0,0.0,0.0,597.4939416666666,619.4333333333334,279.24737619047636
26,0.0,0.0,10.0,597.4939416666666,619.4333333333334,279.24737619047636
27,173.19955833333313,0.0,0.0,760.6934999999997,552.7303936147185,279.24737619047636
28,0.0,10.0,0.0,760.6934999999997,552.7303936147185,279.24737619047636
29,0.0,0.0,10.0,760.6934999999997,552.7303936147185,279.24737619047636
30,0.0,10.0,0.0,760.6934999999997,552.7303936147185,279.24737619047636
31,0.0,0.0,10.0,760.6934999999997,552.7303936147185,279.24737619047636
32,0.0,10.0,0.0,760.6934999999997,552.7303936147185,279.24737619047636
33,0.0,0.0,10.0,760.6934999999997,552.7303936147185,279.24737619047636
34,0.0,76.70293971861486,0.0,597.4939416666666,619.4333333333334,279.24737619047636
35,0.0,0.0,10.0,597.4939416666666,619.4333333333334,279.24737619047636
36,10.0,0.0,0.0,597.4939416666666,619.4333333333334,279.24737619047636
37,0.0,0.0,10.0,597.4939416666666,619.4333333333334,279.24737619047636
38,10.0,0.0,0.0,597.4939416666666,619.4333333333334,279.24737619047636
39,10.0,0.0,0.0,597.4939416666666,619.4333333333334,279.24737619047636
40,0.0,0.0,10.0,597.4939416666666,619.4333333333334,279.24737619047636
41,10.0,0.0,0.0,597.4939416666666,619.4333333333334,279.24737619047636
42,0.0,0.0,10.0,597.4939416666666,619.4333333333334,279.24737619047636
43,10.0,0.0,0.0,597.4939416666666,619.4333333333334,279.24737619047636
44,0.0,0.0,10.0,597.4939416666666,619.4333333333334,279.24737619047636
45,10.0,0.0,0.0,597.4939416666666,619.4333333333334,279.24737619047636
46,0.0,0.0,10.0,597.4939416666666,619.4333333333334,279.24737619047636
47,10.0,0.0,0.0,597.4939416666666,619.4333333333334,279.24737619047636
48,0.0,0.0,10.0,597.4939416666666,619.4333333333334,279.24737619047636
49,10.0,0.0,0.0,597.4939416666666,619.4333333333334,279.24737619047636
50,0.0,0.0,10.0,597.4939416666666,619.4333333333334,279.24737619047636
51,10.0,0.0,0.0,597.4939416666666,619.4333333333334,279.24737619047636
52,0.0,0.0,10.0,597.4939416666666,619.4333333333334,279.24737619047636
